layer,max_iter,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
32,200,0.786 ,0.789 ,0.779 ,0.792 ,0.784 ,0.571 ,0.811 ,0.835 
32,400,0.786 ,0.789 ,0.779 ,0.792 ,0.784 ,0.571 ,0.816 ,0.840 
32,600,0.786 ,0.789 ,0.779 ,0.792 ,0.784 ,0.571 ,0.816 ,0.840 
32,800,0.786 ,0.789 ,0.779 ,0.792 ,0.784 ,0.571 ,0.816 ,0.840 
32,1000,0.786 ,0.789 ,0.779 ,0.792 ,0.784 ,0.571 ,0.816 ,0.840 
64,200,0.789 ,0.803 ,0.766 ,0.812 ,0.784 ,0.579 ,0.827 ,0.849 
64,400,0.786 ,0.797 ,0.766 ,0.805 ,0.781 ,0.572 ,0.827 ,0.848 
64,600,0.786 ,0.797 ,0.766 ,0.805 ,0.781 ,0.572 ,0.827 ,0.848 
64,800,0.786 ,0.797 ,0.766 ,0.805 ,0.781 ,0.572 ,0.827 ,0.848 
64,1000,0.786 ,0.797 ,0.766 ,0.805 ,0.781 ,0.572 ,0.827 ,0.848 
128,200,0.792 ,0.800 ,0.779 ,0.805 ,0.789 ,0.585 ,0.816 ,0.841 
128,400,0.792 ,0.800 ,0.779 ,0.805 ,0.789 ,0.585 ,0.816 ,0.841 
128,600,0.792 ,0.800 ,0.779 ,0.805 ,0.789 ,0.585 ,0.816 ,0.841 
128,800,0.792 ,0.800 ,0.779 ,0.805 ,0.789 ,0.585 ,0.816 ,0.841 
128,1000,0.792 ,0.800 ,0.779 ,0.805 ,0.789 ,0.585 ,0.816 ,0.841 
256,200,0.779 ,0.791 ,0.760 ,0.799 ,0.775 ,0.559 ,0.816 ,0.836 
256,400,0.779 ,0.791 ,0.760 ,0.799 ,0.775 ,0.559 ,0.816 ,0.836 
256,600,0.779 ,0.791 ,0.760 ,0.799 ,0.775 ,0.559 ,0.816 ,0.836 
256,800,0.779 ,0.791 ,0.760 ,0.799 ,0.775 ,0.559 ,0.816 ,0.836 
256,1000,0.779 ,0.791 ,0.760 ,0.799 ,0.775 ,0.559 ,0.816 ,0.836 
